,activity,start_time,end_time,time_span,sequence_in_a_day,label
314,R1_Sleep,2009-02-04 22:55:00,2009-02-05 06:51:02,28562,1,1
315,R1_Sleep,2009-02-05 23:11:49,2009-02-06 07:33:48,30119,1,1
316,R1_Sleep,2009-02-06 23:52:40,2009-02-07 08:23:03,30623,1,1
317,R1_Sleep,2009-02-09 20:45:44,2009-02-10 09:21:45,45361,1,0
318,R1_Sleep,2009-02-16 22:41:08,2009-02-17 08:34:56,35628,1,1
319,R1_Sleep,2009-02-17 22:41:57,2009-02-18 07:44:47,32570,1,1
320,R1_Sleep,2009-02-18 22:46:24,2009-02-19 06:46:58,28834,1,1
321,R1_Sleep,2009-02-19 20:01:03,2009-02-20 04:26:43,30340,1,1
322,R1_Sleep,2009-02-21 00:38:40,2009-02-21 07:43:30,25490,1,1
323,R1_Sleep,2009-02-23 23:14:05,2009-02-24 07:01:35,28050,1,1
324,R1_Sleep,2009-02-24 21:37:57,2009-02-25 07:33:25,35728,1,1
325,R1_Sleep,2009-02-25 21:41:35,2009-02-26 06:51:50,33015,1,1
326,R1_Sleep,2009-02-26 23:35:16,2009-02-27 07:49:14,29638,1,1
327,R1_Sleep,2009-02-28 00:48:01,2009-02-28 08:23:34,27333,1,1
328,R1_Sleep,2009-03-02 20:37:55,2009-03-03 07:08:43,37848,1,1
329,R1_Sleep,2009-03-03 22:02:34,2009-03-04 07:00:05,32251,1,1
330,R1_Sleep,2009-03-05 00:11:57,2009-03-05 06:42:32,23435,1,1
331,R1_Sleep,2009-03-05 21:14:31,2009-03-06 07:35:52,37281,2,0
332,R1_Sleep,2009-03-06 22:56:25,2009-03-07 08:11:55,33330,1,1
333,R1_Sleep,2009-03-09 23:15:41,2009-03-10 07:52:53,31032,1,1
334,R1_Sleep,2009-03-10 22:21:49,2009-03-11 07:46:44,33895,1,1
335,R1_Sleep,2009-03-11 22:11:45,2009-03-12 06:50:01,31096,1,1
336,R1_Sleep,2009-03-12 22:22:37,2009-03-13 06:02:10,27573,1,1
337,R1_Sleep,2009-03-23 21:42:36,2009-03-24 08:19:43,38227,1,1
338,R1_Sleep,2009-03-24 22:12:11,2009-03-25 07:36:40,33869,1,1
339,R1_Sleep,2009-03-25 21:45:28,2009-03-26 07:35:50,35422,1,1
340,R1_Sleep,2009-03-26 22:26:02,2009-03-27 07:46:49,33647,1,1
341,R1_Sleep,2009-03-28 01:34:06,2009-03-28 09:31:43,28657,1,1
342,R1_Sleep,2009-03-30 22:09:08,2009-03-31 08:03:34,35666,1,1
343,R1_Sleep,2009-03-31 22:42:22,2009-04-01 07:46:36,32654,1,1
344,R1_Sleep,2009-04-01 21:58:32,2009-04-02 07:55:33,35821,1,1
345,R1_Sleep,2009-04-02 22:38:09,2009-04-03 04:25:31,20842,1,0
346,R1_Sleep,2009-04-03 23:47:31,2009-04-04 07:08:46,26475,1,1
